Trade Date,Action Description,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
4/17/2008, TRANSFERRED FROM     TO BROKERAGE OPTION, ,  ,Cash,,,,,,4683.93, 
4/29/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FEMKX, FIDELITY EMERGING MARKETS,Cash,34.669,31.39,,,,-1088.25, 04/30/2008
4/29/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FICDX, FIDELITY CANADA,Cash,11.364,59.95,,,,-681.25, 04/30/2008
4/29/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FLATX, FIDELITY LATIN AMERICA,Cash,27.799,62.99,,,,-1751.03, 04/30/2008
4/29/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FSAGX, FIDELITY SELECT GOLD,Cash,13.291,37.62,,,,-500, 04/30/2008
4/29/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FSNGX, FIDELITY SELECT NATURAL GAS,Cash,12.929,51.31,,,,-663.4, 04/30/2008
4/30/2008, DIVIDEND RECEIVED, FDRXX, FIDELITY CASH RESERVES,Cash,,,,,,4.52, 
4/30/2008, REINVESTMENT, FDRXX, FIDELITY CASH RESERVES,Cash,4.52,1,,,,-4.52, 
5/1/2008, TRANSFERRED FROM     TO BROKERAGE OPTION, ,  ,Cash,,,,,,122.45, 
5/16/2008, TRANSFERRED FROM     TO BROKERAGE OPTION, ,  ,Cash,,,,,,122.45, 
5/30/2008, DIVIDEND RECEIVED, FDRXX, FIDELITY CASH RESERVES,Cash,,,,,,0.39, 
5/30/2008, REINVESTMENT, FDRXX, FIDELITY CASH RESERVES,Cash,0.39,1,,,,-0.39, 
6/2/2008, TRANSFERRED FROM     TO BROKERAGE OPTION, ,  ,Cash,,,,,,116.83, 
6/4/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FLATX, FIDELITY LATIN AMERICA,Cash,3.652,68.45,,,,-250, 06/05/2008
6/16/2008, TRANSFERRED FROM     TO BROKERAGE OPTION, ,  ,Cash,,,,,,184.92, 
6/24/2008, YOU BOUGHT           PROSPECTUS UNDER    SEPARATE COVER, FLATX, FIDELITY LATIN AMERICA,Cash,3.793,65.91,,,,-250, 06/25/2008
