Date,Open,High,Low,Close,Volume,Adj Close
2011-03-15,84.90,88.03,84.27,87.68,4658900,87.68
2011-03-14,87.72,88.13,86.44,87.63,3922600,87.63
2011-03-11,85.88,88.00,84.59,87.79,6210200,87.79
2011-03-10,88.01,89.00,86.10,87.55,5686400,87.55
2011-03-09,90.42,90.64,89.00,89.82,4702100,89.82
2011-03-08,90.58,92.10,88.90,91.51,4183100,91.51
2011-03-07,92.91,93.15,89.94,90.37,4207200,90.37
2011-03-04,92.73,93.06,91.11,92.35,3610400,92.35
2011-03-03,90.87,93.16,90.43,92.63,4846300,92.63
2011-03-02,88.76,90.67,88.70,89.55,4184300,89.55
2011-03-01,90.75,91.00,88.33,89.06,5464800,89.06
2011-02-28,91.64,91.74,89.93,90.15,5112400,90.15
2011-02-25,91.84,92.00,90.41,90.49,6145100,90.49
2011-02-24,88.50,91.17,87.65,88.91,6684100,88.91
2011-02-23,91.44,91.44,86.23,88.26,10405500,88.26
2011-02-22,93.60,94.89,90.94,91.00,5469600,91.00
2011-02-18,94.93,95.08,93.84,95.00,5227800,95.00
2011-02-17,96.20,96.22,94.65,95.26,4663800,95.26
2011-02-16,97.20,97.36,94.02,95.86,12385200,95.86
2011-02-15,94.58,94.75,93.09,93.62,4641900,93.62
2011-02-14,95.81,95.90,94.67,94.76,3904900,94.76
2011-02-11,94.15,95.50,94.01,95.42,2560000,95.42
2011-02-10,93.63,94.69,93.39,94.52,2498400,94.52
2011-02-09,94.15,94.74,93.20,93.95,3220400,93.95
2011-02-08,94.29,94.29,93.01,93.49,2675300,93.49
2011-02-07,93.64,94.61,93.24,94.14,2768800,94.14
2011-02-04,93.51,93.92,92.62,93.21,3202300,93.21
2011-02-03,93.90,94.10,92.37,93.48,3496000,93.48
2011-02-02,92.87,94.24,92.87,94.09,4301600,94.09
2011-02-01,91.83,93.50,91.42,92.96,5620000,92.96
2011-01-31,88.38,91.35,88.38,90.90,4373100,90.90
2011-01-28,91.26,91.89,88.68,88.91,3367700,88.91
2011-01-27,91.40,91.42,90.01,90.98,3635000,90.98
2011-01-26,89.94,91.39,89.55,90.99,3254700,90.99
2011-01-25,89.56,90.24,88.24,89.39,3156400,89.39
2011-01-24,89.47,90.42,88.91,90.12,2422900,90.12
2011-01-21,90.38,90.64,88.64,89.24,3258300,89.24
2011-01-20,89.03,90.00,86.89,89.26,4193200,89.26
2011-01-19,90.50,91.28,88.78,89.40,4851800,89.40
2011-01-18,89.69,91.63,89.69,90.60,4488700,90.60
2011-01-14,89.47,89.87,88.83,89.52,4103300,89.52
2011-01-13,89.24,89.97,88.75,89.47,6100300,89.47
2011-01-12,86.56,87.74,86.54,87.45,3283900,87.45
2011-01-11,85.19,86.65,85.19,85.66,3357700,85.66
2011-01-10,84.69,85.30,83.65,84.58,2958600,84.58
2011-01-07,84.42,85.30,83.30,84.34,4061300,84.34
2011-01-06,84.41,84.68,83.46,84.25,3527500,84.25
2011-01-05,82.42,84.64,82.28,84.24,3020600,84.24
2011-01-04,84.00,84.08,81.80,83.02,3117300,83.02
2011-01-03,83.93,84.75,83.46,83.59,3005900,83.59
