Date,Open,High,Low,Close,Volume
3-Jan-11,83.93,84.75,83.46,83.59,3006992
4-Jan-11,84,84.08,81.8,83.02,3117469
5-Jan-11,82.42,84.64,82.28,84.24,3020762
6-Jan-11,84.41,84.68,83.46,84.25,3528211
7-Jan-11,84.42,85.3,83.3,84.34,4061529
10-Jan-11,84.69,85.3,83.65,84.58,2958568
11-Jan-11,85.19,86.65,85.19,85.66,3357624
12-Jan-11,86.56,87.74,86.54,87.45,3283946
13-Jan-11,89.24,89.97,88.75,89.47,6106721
14-Jan-11,89.52,89.52,89.52,89.52,0
18-Jan-11,89.69,91.63,89.69,90.6,4488671
19-Jan-11,90.5,91.28,88.78,89.4,4854038
20-Jan-11,89.03,90,86.89,89.26,4193302
21-Jan-11,90.38,90.64,88.64,89.24,3258261
24-Jan-11,89.47,90.42,88.91,90.12,2422919
25-Jan-11,89.56,90.24,88.24,89.39,3156550
26-Jan-11,89.94,91.39,89.55,90.99,3255955
27-Jan-11,91.4,91.42,90.01,90.98,3635406
28-Jan-11,91.26,91.89,88.68,88.91,3367703
31-Jan-11,88.38,91.35,88.38,90.9,4373386
1-Feb-11,91.83,93.5,91.42,92.96,5620174
2-Feb-11,92.87,94.24,92.87,94.09,4332594
3-Feb-11,93.9,94.1,92.37,93.48,3496079
4-Feb-11,93.51,93.92,92.62,93.21,3202221
7-Feb-11,93.64,94.61,93.24,94.14,2768794
8-Feb-11,94.29,94.29,93.01,93.49,2675234
9-Feb-11,94.15,94.74,93.2,93.95,3220507
10-Feb-11,93.63,94.69,93.39,94.52,2498848
11-Feb-11,94.15,95.5,94.01,95.42,2561278
14-Feb-11,95.81,95.9,94.67,94.76,3907493
15-Feb-11,94.58,94.75,93.09,93.62,4643702
16-Feb-11,97.2,97.36,94.02,95.86,12389430
17-Feb-11,96.2,96.22,94.65,95.26,4665055
18-Feb-11,95,95,95,95,0
22-Feb-11,93.6,94.89,90.94,91,5473552
23-Feb-11,91.44,91.44,86.23,88.26,10408140
