Date,Open,High,Low,Close,Volume
1-Jul-11,80.15,84.54,79.96,84.54,20157505
24-Jun-11,78.28,83.00,77.80,79.98,23972902
17-Jun-11,81.67,82.66,78.23,78.53,25327660
10-Jun-11,82.12,82.79,79.61,81.80,27920378
3-Jun-11,87.06,87.15,81.52,82.20,21932073
27-May-11,83.02,85.74,82.25,85.74,20512786
20-May-11,87.33,89.45,84.27,84.75,36884412
13-May-11,91.59,94.61,87.57,87.72,24815261
6-May-11,98.22,98.30,91.00,91.53,22927128
29-Apr-11,95.20,97.78,94.20,97.50,16747373
21-Apr-11,92.53,95.25,90.65,95.25,12189413
15-Apr-11,95.90,96.18,92.61,93.76,17276742
8-Apr-11,99.04,99.54,95.13,95.93,16439073
1-Apr-11,94.67,99.80,91.75,98.60,23696474
