Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,99.00,99.00,99.00,99.00,000,99.00
2014-03-04,98.90,98.90,98.90,98.90,000,98.90
2014-03-03,97.29,97.29,97.29,97.29,000,97.29
2014-02-28,98.20,98.20,98.20,98.20,000,98.20
2014-02-27,98.19,98.19,98.19,98.19,000,98.19
2014-02-26,97.70,97.70,97.70,97.70,000,97.70
2014-02-25,97.72,97.72,97.72,97.72,000,97.72
2014-02-24,97.55,97.55,97.55,97.55,000,97.55
2014-02-21,96.78,96.78,96.78,96.78,000,96.78
2014-02-20,96.70,96.70,96.70,96.70,000,96.70
2014-02-19,96.14,96.14,96.14,96.14,000,96.14
2014-02-18,96.93,96.93,96.93,96.93,000,96.93
2014-02-14,96.46,96.46,96.46,96.46,000,96.46
2014-02-13,96.25,96.25,96.25,96.25,000,96.25
2014-02-12,95.37,95.37,95.37,95.37,000,95.37
2014-02-11,95.32,95.32,95.32,95.32,000,95.32
2014-02-10,94.42,94.42,94.42,94.42,000,94.42
2014-02-07,94.21,94.21,94.21,94.21,000,94.21
2014-02-06,93.60,93.60,93.60,93.60,000,93.60
2014-02-05,92.32,92.32,92.32,92.32,000,92.32
2014-02-04,92.53,92.53,92.53,92.53,000,92.53
2014-02-03,91.76,91.76,91.76,91.76,000,91.76
2014-01-31,93.99,93.99,93.99,93.99,000,93.99
2014-01-30,94.51,94.51,94.51,94.51,000,94.51
2014-01-29,92.66,92.66,92.66,92.66,000,92.66
2014-01-28,93.78,93.78,93.78,93.78,000,93.78
2014-01-27,92.76,92.76,92.76,92.76,000,92.76
2014-01-24,93.72,93.72,93.72,93.72,000,93.72
2014-01-23,95.99,95.99,95.99,95.99,000,95.99
2014-01-22,96.81,96.81,96.81,96.81,000,96.81
2014-01-21,96.65,96.65,96.65,96.65,000,96.65
2014-01-17,96.20,96.20,96.20,96.20,000,96.20
2014-01-16,96.41,96.41,96.41,96.41,000,96.41
2014-01-15,96.44,96.44,96.44,96.44,000,96.44
2014-01-14,95.98,95.98,95.98,95.98,000,95.98
2014-01-13,94.71,94.71,94.71,94.71,000,94.71
2014-01-10,96.17,96.17,96.17,96.17,000,96.17
2014-01-09,95.97,95.97,95.97,95.97,000,95.97
2014-01-08,95.94,95.94,95.94,95.94,000,95.94
2014-01-07,95.69,95.69,95.69,95.69,000,95.69
2014-01-06,94.92,94.92,94.92,94.92,000,94.92
