Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,135.76,135.76,135.76,135.76,000,135.76
2014-03-04,136.13,136.13,136.13,136.13,000,136.13
2014-03-03,134.14,134.14,134.14,134.14,000,134.14
2014-02-28,135.05,135.05,135.05,135.05,000,135.05
2014-02-27,134.98,134.98,134.98,134.98,000,134.98
2014-02-26,133.87,133.87,133.87,133.87,000,133.87
2014-02-25,133.60,133.60,133.60,133.60,000,133.60
2014-02-24,133.80,133.80,133.80,133.80,000,133.80
2014-02-21,132.48,132.48,132.48,132.48,000,132.48
2014-02-20,131.96,131.96,131.96,131.96,000,131.96
2014-02-19,131.09,131.09,131.09,131.09,000,131.09
2014-02-18,131.72,131.72,131.72,131.72,000,131.72
2014-02-14,132.23,132.23,132.23,132.23,000,132.23
2014-02-13,131.41,131.41,131.41,131.41,000,131.41
2014-02-12,130.46,130.46,130.46,130.46,000,130.46
2014-02-11,130.66,130.66,130.66,130.66,000,130.66
2014-02-10,129.69,129.69,129.69,129.69,000,129.69
2014-02-07,129.35,129.35,129.35,129.35,000,129.35
2014-02-06,128.10,128.10,128.10,128.10,000,128.10
2014-02-05,125.36,125.36,125.36,125.36,000,125.36
2014-02-04,126.15,126.15,126.15,126.15,000,126.15
2014-02-03,123.80,123.80,123.80,123.80,000,123.80
2014-01-31,127.28,127.28,127.28,127.28,000,127.28
2014-01-30,126.82,126.82,126.82,126.82,000,126.82
2014-01-29,125.07,125.07,125.07,125.07,000,125.07
2014-01-28,127.48,127.48,127.48,127.48,000,127.48
2014-01-27,126.58,126.58,126.58,126.58,000,126.58
2014-01-24,127.69,127.69,127.69,127.69,000,127.69
2014-01-23,130.36,130.36,130.36,130.36,000,130.36
2014-01-22,131.79,131.79,131.79,131.79,000,131.79
2014-01-21,131.50,131.50,131.50,131.50,000,131.50
2014-01-17,131.94,131.94,131.94,131.94,000,131.94
2014-01-16,132.18,132.18,132.18,132.18,000,132.18
2014-01-15,132.61,132.61,132.61,132.61,000,132.61
2014-01-14,131.80,131.80,131.80,131.80,000,131.80
2014-01-13,130.30,130.30,130.30,130.30,000,130.30
2014-01-10,132.62,132.62,132.62,132.62,000,132.62
2014-01-09,132.33,132.33,132.33,132.33,000,132.33
2014-01-08,132.95,132.95,132.95,132.95,000,132.95
2014-01-07,132.21,132.21,132.21,132.21,000,132.21
2014-01-06,130.90,130.90,130.90,130.90,000,130.90
2014-01-03,132.06,132.06,132.06,132.06,000,132.06
2014-01-02,132.39,132.39,132.39,132.39,000,132.39
2013-12-31,133.18,133.18,133.18,133.18,000,133.18
2013-12-30,133.02,133.02,133.02,133.02,000,133.02
2013-12-27,132.45,132.45,132.45,132.45,000,132.45
2013-12-26,132.83,132.83,132.83,132.83,000,132.83
2013-12-24,132.20,132.20,132.20,132.20,000,132.20
2013-12-23,131.69,131.69,131.69,131.69,000,131.69
2013-12-20,131.37,131.37,131.37,131.37,000,131.37
2013-12-19,135.86,135.86,135.86,135.86,000,129.90
2013-12-18,136.82,136.82,136.82,136.82,000,130.82
2013-12-17,134.57,134.57,134.57,134.57,000,128.67
2013-12-16,135.59,135.59,135.59,135.59,000,129.64
2013-12-13,134.09,134.09,134.09,134.09,000,128.21
2013-12-12,133.61,133.61,133.61,133.61,000,127.75
2013-12-11,134.03,134.03,134.03,134.03,000,128.15
2013-12-10,135.10,135.10,135.10,135.10,000,129.17
2013-12-09,136.42,136.42,136.42,136.42,000,130.44
2013-12-06,136.08,136.08,136.08,136.08,000,130.11
2013-12-05,135.01,135.01,135.01,135.01,000,129.09
2013-12-04,135.03,135.03,135.03,135.03,000,129.11
2013-12-03,135.14,135.14,135.14,135.14,000,129.21
2013-12-02,135.97,135.97,135.97,135.97,000,130.01
2013-11-29,136.61,136.61,136.61,136.61,000,130.62
2013-11-27,136.66,136.66,136.66,136.66,000,130.66
2013-11-26,136.19,136.19,136.19,136.19,000,130.22
2013-11-25,135.98,135.98,135.98,135.98,000,130.01
2013-11-22,136.23,136.23,136.23,136.23,000,130.25
2013-11-21,135.09,135.09,135.09,135.09,000,129.16
2013-11-20,132.52,132.52,132.52,132.52,000,126.71
2013-11-19,133.20,133.20,133.20,133.20,000,127.36
2013-11-18,134.10,134.10,134.10,134.10,000,128.22
2013-11-15,134.45,134.45,134.45,134.45,000,128.55
2013-11-14,134.08,134.08,134.08,134.08,000,128.20
2013-11-13,133.78,133.78,133.78,133.78,000,127.91
2013-11-12,132.61,132.61,132.61,132.61,000,126.79
2013-11-11,132.51,132.51,132.51,132.51,000,126.70
2013-11-08,132.11,132.11,132.11,132.11,000,126.31
2013-11-07,130.06,130.06,130.06,130.06,000,124.35
2013-11-06,132.54,132.54,132.54,132.54,000,126.73
2013-11-05,132.59,132.59,132.59,132.59,000,126.77
2013-11-04,131.62,131.62,131.62,131.62,000,125.85
2013-11-01,130.84,130.84,130.84,130.84,000,125.10
2013-10-31,130.54,130.54,130.54,130.54,000,124.81
2013-10-30,130.60,130.60,130.60,130.60,000,124.87
2013-10-29,130.77,130.77,130.77,130.77,000,125.03
2013-10-28,129.95,129.95,129.95,129.95,000,124.25
2013-10-25,130.12,130.12,130.12,130.12,000,124.41
2013-10-24,129.45,129.45,129.45,129.45,000,123.77
2013-10-23,128.06,128.06,128.06,128.06,000,122.44
2013-10-22,129.60,129.60,129.60,129.60,000,123.91
2013-10-21,128.74,128.74,128.74,128.74,000,123.09
2013-10-18,128.43,128.43,128.43,128.43,000,122.80
2013-10-17,126.86,126.86,126.86,126.86,000,121.29
2013-10-16,125.68,125.68,125.68,125.68,000,120.17
2013-10-15,124.41,124.41,124.41,124.41,000,118.95
2013-10-14,125.54,125.54,125.54,125.54,000,120.03
2013-10-11,125.01,125.01,125.01,125.01,000,119.53
2013-10-10,123.62,123.62,123.62,123.62,000,118.20
2013-10-09,121.78,121.78,121.78,121.78,000,116.44
2013-10-08,122.36,122.36,122.36,122.36,000,116.99
2013-10-07,123.79,123.79,123.79,123.79,000,118.36
2013-10-04,124.63,124.63,124.63,124.63,000,119.16
2013-10-03,123.86,123.86,123.86,123.86,000,118.43
2013-10-02,124.83,124.83,124.83,124.83,000,119.35
2013-10-01,125.34,125.34,125.34,125.34,000,119.84
2013-09-30,124.55,124.55,124.55,124.55,000,119.09
2013-09-27,125.25,125.25,125.25,125.25,000,119.76
2013-09-26,125.45,125.45,125.45,125.45,000,119.95
2013-09-25,124.92,124.92,124.92,124.92,000,119.44
2013-09-24,125.25,125.25,125.25,125.25,000,119.76
2013-09-23,124.61,124.61,124.61,124.61,000,119.14
2013-09-20,125.18,125.18,125.18,125.18,000,119.69
2013-09-19,126.24,126.24,126.24,126.24,000,120.70
2013-09-18,126.69,126.69,126.69,126.69,000,121.13
2013-09-17,125.41,125.41,125.41,125.41,000,119.91
2013-09-16,124.90,124.90,124.90,124.90,000,119.42
2013-09-13,124.67,124.67,124.67,124.67,000,119.20
2013-09-12,124.18,124.18,124.18,124.18,000,118.73
2013-09-11,124.54,124.54,124.54,124.54,000,119.08
2013-09-10,123.47,123.47,123.47,123.47,000,118.05
2013-09-09,122.14,122.14,122.14,122.14,000,116.78
2013-09-06,120.76,120.76,120.76,120.76,000,115.46
2013-09-05,120.64,120.64,120.64,120.64,000,115.35
2013-09-04,120.57,120.57,120.57,120.57,000,115.28
2013-09-03,119.71,119.71,119.71,119.71,000,114.46
2013-08-30,118.63,118.63,118.63,118.63,000,113.43
2013-08-29,119.54,119.54,119.54,119.54,000,114.30
2013-08-28,118.93,118.93,118.93,118.93,000,113.71
2013-08-27,118.33,118.33,118.33,118.33,000,113.14
2013-08-26,120.65,120.65,120.65,120.65,000,115.36
2013-08-23,120.75,120.75,120.75,120.75,000,115.45
2013-08-22,120.85,120.85,120.85,120.85,000,115.55
2013-08-21,119.41,119.41,119.41,119.41,000,114.17
2013-08-20,120.03,120.03,120.03,120.03,000,114.76
2013-08-19,119.33,119.33,119.33,119.33,000,114.10
2013-08-16,119.73,119.73,119.73,119.73,000,114.48
2013-08-15,120.07,120.07,120.07,120.07,000,114.80
2013-08-14,121.30,121.30,121.30,121.30,000,115.98
2013-08-13,121.46,121.46,121.46,121.46,000,116.13
