Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,8.83,8.83,8.83,8.83,000,8.83
2014-03-04,8.79,8.79,8.79,8.79,000,8.79
2014-03-03,8.54,8.54,8.54,8.54,000,8.54
2014-02-28,8.97,8.97,8.97,8.97,000,8.97
2014-02-27,8.96,8.96,8.96,8.96,000,8.96
2014-02-26,8.94,8.94,8.94,8.94,000,8.94
2014-02-25,9.03,9.03,9.03,9.03,000,9.03
2014-02-24,9.04,9.04,9.04,9.04,000,9.04
2014-02-21,8.95,8.95,8.95,8.95,000,8.95
2014-02-20,8.86,8.86,8.86,8.86,000,8.86
2014-02-19,8.90,8.90,8.90,8.90,000,8.90
2014-02-18,8.99,8.99,8.99,8.99,000,8.99
2014-02-14,8.99,8.99,8.99,8.99,000,8.99
2014-02-13,8.87,8.87,8.87,8.87,000,8.87
2014-02-12,8.90,8.90,8.90,8.90,000,8.90
2014-02-11,8.88,8.88,8.88,8.88,000,8.88
2014-02-10,8.81,8.81,8.81,8.81,000,8.81
2014-02-07,8.78,8.78,8.78,8.78,000,8.78
2014-02-06,8.75,8.75,8.75,8.75,000,8.75
2014-02-05,8.59,8.59,8.59,8.59,000,8.59
2014-02-04,8.58,8.58,8.58,8.58,000,8.58
2014-02-03,8.52,8.52,8.52,8.52,000,8.52
2014-01-31,8.62,8.62,8.62,8.62,000,8.62
2014-01-30,8.62,8.62,8.62,8.62,000,8.62
2014-01-29,8.62,8.62,8.62,8.62,000,8.62
2014-01-28,8.75,8.75,8.75,8.75,000,8.75
2014-01-27,8.73,8.73,8.73,8.73,000,8.73
2014-01-24,8.88,8.88,8.88,8.88,000,8.88
2014-01-23,9.04,9.04,9.04,9.04,000,9.04
2014-01-22,9.08,9.08,9.08,9.08,000,9.08
2014-01-21,9.07,9.07,9.07,9.07,000,9.07
2014-01-17,9.01,9.01,9.01,9.01,000,9.01
2014-01-16,9.06,9.06,9.06,9.06,000,9.06
2014-01-15,9.04,9.04,9.04,9.04,000,9.04
2014-01-14,9.00,9.00,9.00,9.00,000,9.00
2014-01-13,9.03,9.03,9.03,9.03,000,9.03
2014-01-10,9.04,9.04,9.04,9.04,000,9.04
2014-01-09,8.93,8.93,8.93,8.93,000,8.93
2014-01-08,8.97,8.97,8.97,8.97,000,8.97
2014-01-07,9.02,9.02,9.02,9.02,000,9.02
2014-01-06,9.03,9.03,9.03,9.03,000,9.03
2014-01-03,9.08,9.08,9.08,9.08,000,9.08
2014-01-02,9.14,9.14,9.14,9.14,000,9.14
2013-12-31,9.19,9.19,9.19,9.19,000,9.19
2013-12-30,9.18,9.18,9.18,9.18,000,9.18
2013-12-27,9.08,9.08,9.08,9.08,000,9.08
2013-12-26,9.09,9.09,9.09,9.09,000,9.09
2013-12-24,9.13,9.13,9.13,9.13,000,9.13
2013-12-23,9.11,9.11,9.11,9.11,000,9.11
2013-12-20,9.04,9.04,9.04,9.04,000,9.04
2013-12-19,9.01,9.01,9.01,9.01,000,9.01
2013-12-18,9.01,9.01,9.01,9.01,000,9.01
2013-12-17,8.98,8.98,8.98,8.98,000,8.98
2013-12-16,8.97,8.97,8.97,8.97,000,8.97
2013-12-13,8.93,8.93,8.93,8.93,000,8.93
2013-12-12,8.90,8.90,8.90,8.90,000,8.90
2013-12-11,9.03,9.03,9.03,9.03,000,9.03
2013-12-10,9.07,9.07,9.07,9.07,000,9.07
2013-12-09,9.05,9.05,9.05,9.05,000,9.05
2013-12-06,8.99,8.99,8.99,8.99,000,8.99
2013-12-05,8.98,8.98,8.98,8.98,000,8.85
2013-12-04,8.98,8.98,8.98,8.98,000,8.85
2013-12-03,9.07,9.07,9.07,9.07,000,8.94
2013-12-02,9.22,9.22,9.22,9.22,000,9.08
2013-11-29,9.29,9.29,9.29,9.29,000,9.15
2013-11-27,9.21,9.21,9.21,9.21,000,9.07
2013-11-26,9.22,9.22,9.22,9.22,000,9.08
2013-11-25,9.34,9.34,9.34,9.34,000,9.20
2013-11-22,9.33,9.33,9.33,9.33,000,9.19
2013-11-21,9.26,9.26,9.26,9.26,000,9.12
2013-11-20,9.29,9.29,9.29,9.29,000,9.15
2013-11-19,9.31,9.31,9.31,9.31,000,9.17
2013-11-18,9.38,9.38,9.38,9.38,000,9.24
2013-11-15,9.29,9.29,9.29,9.29,000,9.15
2013-11-14,9.22,9.22,9.22,9.22,000,9.08
2013-11-13,9.07,9.07,9.07,9.07,000,8.94
2013-11-12,9.15,9.15,9.15,9.15,000,9.01
2013-11-11,9.12,9.12,9.12,9.12,000,8.98
2013-11-08,9.20,9.20,9.20,9.20,000,9.06
2013-11-07,9.34,9.34,9.34,9.34,000,9.20
2013-11-06,9.39,9.39,9.39,9.39,000,9.25
2013-11-05,9.34,9.34,9.34,9.34,000,9.20
2013-11-04,9.46,9.46,9.46,9.46,000,9.32
2013-11-01,9.42,9.42,9.42,9.42,000,9.28
2013-10-31,9.52,9.52,9.52,9.52,000,9.38
2013-10-30,9.60,9.60,9.60,9.60,000,9.46
2013-10-29,9.60,9.60,9.60,9.60,000,9.46
