Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,23.69,23.69,23.69,23.69,000,23.69
2014-03-04,23.62,23.62,23.62,23.62,000,23.62
2014-03-03,23.24,23.24,23.24,23.24,000,23.24
2014-02-28,23.69,23.69,23.69,23.69,000,23.69
2014-02-27,23.56,23.56,23.56,23.56,000,23.56
2014-02-26,23.34,23.34,23.34,23.34,000,23.34
2014-02-25,23.29,23.29,23.29,23.29,000,23.29
2014-02-24,23.26,23.26,23.26,23.26,000,23.26
2014-02-21,23.21,23.21,23.21,23.21,000,23.21
2014-02-20,23.04,23.04,23.04,23.04,000,23.04
2014-02-19,23.14,23.14,23.14,23.14,000,23.14
2014-02-18,23.18,23.18,23.18,23.18,000,23.18
2014-02-14,23.08,23.08,23.08,23.08,000,23.08
2014-02-13,22.89,22.89,22.89,22.89,000,22.89
2014-02-12,22.94,22.94,22.94,22.94,000,22.94
2014-02-11,22.88,22.88,22.88,22.88,000,22.88
2014-02-10,22.66,22.66,22.66,22.66,000,22.66
2014-02-07,22.75,22.75,22.75,22.75,000,22.75
2014-02-06,22.52,22.52,22.52,22.52,000,22.52
2014-02-05,22.11,22.11,22.11,22.11,000,22.11
2014-02-04,22.13,22.13,22.13,22.13,000,22.13
2014-02-03,21.98,21.98,21.98,21.98,000,21.98
2014-01-31,22.41,22.41,22.41,22.41,000,22.41
2014-01-30,22.44,22.44,22.44,22.44,000,22.44
2014-01-29,22.40,22.40,22.40,22.40,000,22.40
2014-01-28,22.59,22.59,22.59,22.59,000,22.59
2014-01-27,22.47,22.47,22.47,22.47,000,22.47
2014-01-24,22.77,22.77,22.77,22.77,000,22.77
2014-01-23,23.34,23.34,23.34,23.34,000,23.34
2014-01-22,23.63,23.63,23.63,23.63,000,23.63
2014-01-21,23.54,23.54,23.54,23.54,000,23.54
2014-01-17,23.57,23.57,23.57,23.57,000,23.57
2014-01-16,23.68,23.68,23.68,23.68,000,23.68
2014-01-15,23.72,23.72,23.72,23.72,000,23.72
2014-01-14,23.71,23.71,23.71,23.71,000,23.71
2014-01-13,23.58,23.58,23.58,23.58,000,23.58
2014-01-10,23.56,23.56,23.56,23.56,000,23.56
2014-01-09,23.37,23.37,23.37,23.37,000,23.37
2014-01-08,23.56,23.56,23.56,23.56,000,23.56
2014-01-07,23.59,23.59,23.59,23.59,000,23.59
2014-01-06,23.53,23.53,23.53,23.53,000,23.53
2014-01-03,23.60,23.60,23.60,23.60,000,23.60
2014-01-02,23.74,23.74,23.74,23.74,000,23.74
2013-12-31,24.09,24.09,24.09,24.09,000,24.09
2013-12-30,24.03,24.03,24.03,24.03,000,24.03
2013-12-27,23.88,23.88,23.88,23.88,000,23.88
2013-12-26,23.79,23.79,23.79,23.79,000,23.79
2013-12-24,23.86,23.86,23.86,23.86,000,23.85
2013-12-23,23.82,23.82,23.82,23.82,000,23.81
2013-12-20,23.66,23.66,23.66,23.66,000,23.65
2013-12-19,23.71,23.71,23.71,23.71,000,23.70
2013-12-18,23.88,23.88,23.88,23.88,000,23.86
2013-12-17,23.64,23.64,23.64,23.64,000,23.63
2013-12-16,23.66,23.66,23.66,23.66,000,23.65
2013-12-13,23.58,23.58,23.58,23.58,000,23.57
2013-12-12,23.62,23.62,23.62,23.62,000,23.61
2013-12-11,23.82,23.82,23.82,23.82,000,23.81
2013-12-10,24.08,24.08,24.08,24.08,000,24.06
2013-12-09,24.09,24.09,24.09,24.09,000,24.07
2013-12-06,23.92,23.92,23.92,23.92,000,23.90
2013-12-05,23.73,23.73,23.73,23.73,000,23.71
2013-12-04,23.67,23.67,23.67,23.67,000,23.65
2013-12-03,23.88,23.88,23.88,23.88,000,23.86
2013-12-02,24.14,24.14,24.14,24.14,000,24.12
2013-11-29,24.23,24.23,24.23,24.23,000,24.21
2013-11-27,24.05,24.05,24.05,24.05,000,24.03
2013-11-26,24.05,24.05,24.05,24.05,000,24.03
2013-11-25,24.06,24.06,24.06,24.06,000,24.04
2013-11-22,23.99,23.99,23.99,23.99,000,23.97
2013-11-21,23.86,23.86,23.86,23.86,000,23.84
2013-11-20,24.04,24.04,24.04,24.04,000,24.02
2013-11-19,24.23,24.23,24.23,24.23,000,24.21
2013-11-18,24.33,24.33,24.33,24.33,000,24.31
2013-11-15,24.00,24.00,24.00,24.00,000,23.98
2013-11-14,23.76,23.76,23.76,23.76,000,23.74
2013-11-13,23.40,23.40,23.40,23.40,000,23.38
2013-11-12,23.48,23.48,23.48,23.48,000,23.46
2013-11-11,23.56,23.56,23.56,23.56,000,23.54
2013-11-08,23.72,23.72,23.72,23.72,000,23.70
2013-11-07,23.84,23.84,23.84,23.84,000,23.82
2013-11-06,24.09,24.09,24.09,24.09,000,24.07
2013-11-05,24.09,24.09,24.09,24.09,000,24.07
2013-11-04,24.33,24.33,24.33,24.33,000,24.31
2013-11-01,24.34,24.34,24.34,24.34,000,24.32
2013-10-31,24.43,24.43,24.43,24.43,000,24.41
2013-10-30,24.63,24.63,24.63,24.63,000,24.61
2013-10-29,24.58,24.58,24.58,24.58,000,24.56
2013-10-28,24.61,24.61,24.61,24.61,000,24.59
2013-10-25,24.57,24.57,24.57,24.57,000,24.55
2013-10-24,24.54,24.54,24.54,24.54,000,24.52
2013-10-23,24.54,24.54,24.54,24.54,000,24.52
2013-10-22,24.73,24.73,24.73,24.73,000,24.71
2013-10-21,24.63,24.63,24.63,24.63,000,24.61
2013-10-18,24.59,24.59,24.59,24.59,000,24.57
2013-10-17,24.40,24.40,24.40,24.40,000,24.38
2013-10-16,24.29,24.29,24.29,24.29,000,24.27
2013-10-15,24.19,24.19,24.19,24.19,000,24.17
2013-10-14,24.24,24.24,24.24,24.24,000,24.22
2013-10-11,24.22,24.22,24.22,24.22,000,24.20
2013-10-10,24.05,24.05,24.05,24.05,000,24.03
2013-10-09,23.65,23.65,23.65,23.65,000,23.63
2013-10-08,23.66,23.66,23.66,23.66,000,23.64
2013-10-07,23.72,23.72,23.72,23.72,000,23.70
2013-10-04,23.78,23.78,23.78,23.78,000,23.76
2013-10-03,23.71,23.71,23.71,23.71,000,23.69
2013-10-02,23.57,23.57,23.57,23.57,000,23.55
2013-10-01,23.46,23.46,23.46,23.46,000,23.44
2013-09-30,23.22,23.22,23.22,23.22,000,23.20
2013-09-27,23.48,23.48,23.48,23.48,000,23.46
2013-09-26,23.60,23.60,23.60,23.60,000,23.58
2013-09-25,23.68,23.68,23.68,23.68,000,23.66
2013-09-24,23.73,23.73,23.73,23.73,000,23.71
2013-09-23,23.83,23.83,23.83,23.83,000,23.81
2013-09-20,23.87,23.87,23.87,23.87,000,23.85
2013-09-19,24.26,24.26,24.26,24.26,000,24.24
2013-09-18,23.90,23.90,23.90,23.90,000,23.88
2013-09-17,23.50,23.50,23.50,23.50,000,23.48
2013-09-16,23.47,23.47,23.47,23.47,000,23.45
2013-09-13,23.10,23.10,23.10,23.10,000,23.08
2013-09-12,23.08,23.08,23.08,23.08,000,23.06
2013-09-11,23.18,23.18,23.18,23.18,000,23.16
2013-09-10,23.10,23.10,23.10,23.10,000,23.08
2013-09-09,22.65,22.65,22.65,22.65,000,22.63
2013-09-06,22.20,22.20,22.20,22.20,000,22.18
2013-09-05,21.97,21.97,21.97,21.97,000,21.95
