Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,33.99,33.99,33.99,33.99,000,33.99
2014-03-04,33.96,33.96,33.96,33.96,000,33.96
2014-03-03,33.56,33.56,33.56,33.56,000,33.56
2014-02-28,33.85,33.85,33.85,33.85,000,33.85
2014-02-27,33.67,33.67,33.67,33.67,000,33.67
2014-02-26,33.16,33.16,33.16,33.16,000,33.16
2014-02-25,32.81,32.81,32.81,32.81,000,32.81
2014-02-24,32.88,32.88,32.88,32.88,000,32.88
2014-02-21,33.25,33.25,33.25,33.25,000,33.25
2014-02-20,33.29,33.29,33.29,33.29,000,33.29
2014-02-19,33.43,33.43,33.43,33.43,000,33.43
2014-02-18,33.41,33.41,33.41,33.41,000,33.41
2014-02-14,33.10,33.10,33.10,33.10,000,33.10
2014-02-13,33.00,33.00,33.00,33.00,000,33.00
2014-02-12,33.16,33.16,33.16,33.16,000,33.16
2014-02-11,33.02,33.02,33.02,33.02,000,33.02
2014-02-10,32.51,32.51,32.51,32.51,000,32.51
2014-02-07,32.55,32.55,32.55,32.55,000,32.55
2014-02-06,32.16,32.16,32.16,32.16,000,32.16
2014-02-05,31.33,31.33,31.33,31.33,000,31.33
2014-02-04,31.72,31.72,31.72,31.72,000,31.72
2014-02-03,31.98,31.98,31.98,31.98,000,31.98
2014-01-31,32.65,32.65,32.65,32.65,000,32.65
2014-01-30,32.68,32.68,32.68,32.68,000,32.68
2014-01-29,32.52,32.52,32.52,32.52,000,32.52
2014-01-28,32.42,32.42,32.42,32.42,000,32.42
2014-01-27,32.05,32.05,32.05,32.05,000,32.05
2014-01-24,32.42,32.42,32.42,32.42,000,32.42
2014-01-23,33.42,33.42,33.42,33.42,000,33.42
2014-01-22,34.01,34.01,34.01,34.01,000,34.01
2014-01-21,33.89,33.89,33.89,33.89,000,33.89
2014-01-17,34.13,34.13,34.13,34.13,000,34.13
2014-01-16,33.89,33.89,33.89,33.89,000,33.89
2014-01-15,33.78,33.78,33.78,33.78,000,33.78
2014-01-14,33.62,33.62,33.62,33.62,000,33.62
2014-01-13,33.14,33.14,33.14,33.14,000,33.14
2014-01-10,33.27,33.27,33.27,33.27,000,33.27
2014-01-09,33.35,33.35,33.35,33.35,000,33.35
2014-01-08,33.78,33.78,33.78,33.78,000,33.78
2014-01-07,33.35,33.35,33.35,33.35,000,33.35
2014-01-06,33.18,33.18,33.18,33.18,000,33.18
2014-01-03,33.49,33.49,33.49,33.49,000,33.49
2014-01-02,33.68,33.68,33.68,33.68,000,33.68
2013-12-31,33.76,33.76,33.76,33.76,000,33.76
2013-12-30,33.61,33.61,33.61,33.61,000,33.61
2013-12-27,33.35,33.35,33.35,33.35,000,33.35
2013-12-26,33.24,33.24,33.24,33.24,000,33.24
2013-12-24,33.12,33.12,33.12,33.12,000,33.12
2013-12-23,32.88,32.88,32.88,32.88,000,32.88
2013-12-20,32.66,32.66,32.66,32.66,000,32.66
2013-12-19,32.87,32.87,32.87,32.87,000,32.87
2013-12-18,33.32,33.32,33.32,33.32,000,33.32
2013-12-17,32.97,32.97,32.97,32.97,000,32.97
2013-12-16,33.05,33.05,33.05,33.05,000,33.05
2013-12-13,33.21,33.21,33.21,33.21,000,33.21
2013-12-12,33.14,33.14,33.14,33.14,000,33.14
2013-12-11,33.11,33.11,33.11,33.11,000,33.11
2013-12-10,33.61,33.61,33.61,33.61,000,33.61
2013-12-09,33.71,33.71,33.71,33.71,000,33.71
2013-12-06,33.76,33.76,33.76,33.76,000,33.76
2013-12-05,37.18,37.18,37.18,37.18,000,33.49
2013-12-04,37.15,37.15,37.15,37.15,000,33.47
2013-12-03,37.11,37.11,37.11,37.11,000,33.43
2013-12-02,37.14,37.14,37.14,37.14,000,33.46
2013-11-29,37.00,37.00,37.00,37.00,000,33.33
2013-11-27,36.62,36.62,36.62,36.62,000,32.99
2013-11-26,36.53,36.53,36.53,36.53,000,32.91
2013-11-25,36.43,36.43,36.43,36.43,000,32.82
2013-11-22,36.30,36.30,36.30,36.30,000,32.70
2013-11-21,36.27,36.27,36.27,36.27,000,32.68
2013-11-20,36.52,36.52,36.52,36.52,000,32.90
2013-11-19,36.48,36.48,36.48,36.48,000,32.86
2013-11-18,36.63,36.63,36.63,36.63,000,33.00
2013-11-15,35.88,35.88,35.88,35.88,000,32.32
2013-11-14,35.45,35.45,35.45,35.45,000,31.94
2013-11-13,35.00,35.00,35.00,35.00,000,31.53
2013-11-12,35.37,35.37,35.37,35.37,000,31.86
2013-11-11,35.49,35.49,35.49,35.49,000,31.97
2013-11-08,35.41,35.41,35.41,35.41,000,31.90
2013-11-07,35.33,35.33,35.33,35.33,000,31.83
2013-11-06,35.78,35.78,35.78,35.78,000,32.23
2013-11-05,35.81,35.81,35.81,35.81,000,32.26
2013-11-04,35.89,35.89,35.89,35.89,000,32.33
2013-11-01,35.94,35.94,35.94,35.94,000,32.38
2013-10-31,35.83,35.83,35.83,35.83,000,32.28
2013-10-30,35.93,35.93,35.93,35.93,000,32.37
2013-10-29,35.37,35.37,35.37,35.37,000,31.86
2013-10-28,35.66,35.66,35.66,35.66,000,32.13
2013-10-25,35.78,35.78,35.78,35.78,000,32.23
2013-10-24,36.07,36.07,36.07,36.07,000,32.50
2013-10-23,36.12,36.12,36.12,36.12,000,32.54
2013-10-22,36.50,36.50,36.50,36.50,000,32.88
2013-10-21,36.75,36.75,36.75,36.75,000,33.11
2013-10-18,36.40,36.40,36.40,36.40,000,32.79
2013-10-17,36.04,36.04,36.04,36.04,000,32.47
2013-10-16,35.97,35.97,35.97,35.97,000,32.40
2013-10-15,35.95,35.95,35.95,35.95,000,32.39
2013-10-14,35.83,35.83,35.83,35.83,000,32.28
2013-10-11,35.81,35.81,35.81,35.81,000,32.26
2013-10-10,35.62,35.62,35.62,35.62,000,32.09
2013-10-09,35.24,35.24,35.24,35.24,000,31.75
2013-10-08,35.17,35.17,35.17,35.17,000,31.68
2013-10-07,35.21,35.21,35.21,35.21,000,31.72
2013-10-04,35.41,35.41,35.41,35.41,000,31.90
2013-10-03,35.07,35.07,35.07,35.07,000,31.59
2013-10-02,34.72,34.72,34.72,34.72,000,31.28
2013-10-01,34.37,34.37,34.37,34.37,000,30.96
2013-09-30,34.24,34.24,34.24,34.24,000,30.85
2013-09-27,34.53,34.53,34.53,34.53,000,31.11
2013-09-26,34.49,34.49,34.49,34.49,000,31.07
2013-09-25,34.60,34.60,34.60,34.60,000,31.17
