Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,59.25,59.25,59.25,59.25,000,59.25
2014-03-04,58.91,58.91,58.91,58.91,000,58.91
2014-03-03,58.60,58.60,58.60,58.60,000,58.60
2014-02-28,58.67,58.67,58.67,58.67,000,58.67
2014-02-27,58.55,58.55,58.55,58.55,000,58.55
2014-02-26,58.41,58.41,58.41,58.41,000,58.41
2014-02-25,58.57,58.57,58.57,58.57,000,58.57
2014-02-24,58.90,58.90,58.90,58.90,000,58.90
2014-02-21,58.54,58.54,58.54,58.54,000,58.54
2014-02-20,58.76,58.76,58.76,58.76,000,58.76
2014-02-19,58.34,58.34,58.34,58.34,000,58.34
2014-02-18,58.80,58.80,58.80,58.80,000,58.80
2014-02-14,58.49,58.49,58.49,58.49,000,58.49
2014-02-13,58.40,58.40,58.40,58.40,000,58.40
2014-02-12,57.76,57.76,57.76,57.76,000,57.76
2014-02-11,57.52,57.52,57.52,57.52,000,57.52
2014-02-10,56.95,56.95,56.95,56.95,000,56.95
2014-02-07,57.02,57.02,57.02,57.02,000,57.02
2014-02-06,56.45,56.45,56.45,56.45,000,56.45
2014-02-05,55.89,55.89,55.89,55.89,000,55.89
2014-02-04,55.71,55.71,55.71,55.71,000,55.71
2014-02-03,55.58,55.58,55.58,55.58,000,55.58
2014-01-31,56.34,56.34,56.34,56.34,000,56.34
2014-01-30,56.43,56.43,56.43,56.43,000,56.43
2014-01-29,55.68,55.68,55.68,55.68,000,55.68
2014-01-28,56.12,56.12,56.12,56.12,000,56.12
2014-01-27,55.83,55.83,55.83,55.83,000,55.83
2014-01-24,56.64,56.64,56.64,56.64,000,56.64
2014-01-23,57.55,57.55,57.55,57.55,000,57.55
2014-01-22,57.84,57.84,57.84,57.84,000,57.84
2014-01-21,58.04,58.04,58.04,58.04,000,58.04
2014-01-17,57.79,57.79,57.79,57.79,000,57.79
2014-01-16,57.80,57.80,57.80,57.80,000,57.80
2014-01-15,57.46,57.46,57.46,57.46,000,57.46
2014-01-14,57.14,57.14,57.14,57.14,000,57.14
2014-01-13,57.52,57.52,57.52,57.52,000,57.52
2014-01-10,57.67,57.67,57.67,57.67,000,57.67
2014-01-09,57.50,57.50,57.50,57.50,000,57.50
2014-01-08,57.49,57.49,57.49,57.49,000,57.49
2014-01-07,57.50,57.50,57.50,57.50,000,57.50
2014-01-06,57.51,57.51,57.51,57.51,000,57.51
2014-01-03,57.93,57.93,57.93,57.93,000,57.93
2014-01-02,57.86,57.86,57.86,57.86,000,57.86
2013-12-31,58.31,58.31,58.31,58.31,000,58.31
2013-12-30,58.14,58.14,58.14,58.14,000,58.14
2013-12-27,57.73,57.73,57.73,57.73,000,57.73
2013-12-26,57.98,57.98,57.98,57.98,000,57.98
