Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,28.56,28.56,28.56,28.56,000,28.56
2014-03-04,28.37,28.37,28.37,28.37,000,28.37
2014-03-03,27.92,27.92,27.92,27.92,000,27.92
2014-02-28,28.46,28.46,28.46,28.46,000,28.46
2014-02-27,28.68,28.68,28.68,28.68,000,28.68
2014-02-26,28.22,28.22,28.22,28.22,000,28.22
2014-02-25,28.38,28.38,28.38,28.38,000,28.38
2014-02-24,28.68,28.68,28.68,28.68,000,28.68
2014-02-21,28.59,28.59,28.59,28.59,000,28.59
2014-02-20,28.38,28.38,28.38,28.38,000,28.38
2014-02-19,28.33,28.33,28.33,28.33,000,28.33
2014-02-18,28.42,28.42,28.42,28.42,000,28.42
2014-02-14,28.86,28.86,28.86,28.86,000,28.86
2014-02-13,28.55,28.55,28.55,28.55,000,28.55
2014-02-12,28.35,28.35,28.35,28.35,000,28.35
2014-02-11,28.52,28.52,28.52,28.52,000,28.52
2014-02-10,28.03,28.03,28.03,28.03,000,28.03
2014-02-07,28.34,28.34,28.34,28.34,000,28.34
2014-02-06,28.15,28.15,28.15,28.15,000,28.15
2014-02-05,27.62,27.62,27.62,27.62,000,27.62
2014-02-04,27.75,27.75,27.75,27.75,000,27.75
2014-02-03,27.13,27.13,27.13,27.13,000,27.13
2014-01-31,28.09,28.09,28.09,28.09,000,28.09
2014-01-30,28.12,28.12,28.12,28.12,000,28.12
2014-01-29,27.96,27.96,27.96,27.96,000,27.96
2014-01-28,28.38,28.38,28.38,28.38,000,28.38
2014-01-27,28.35,28.35,28.35,28.35,000,28.35
2014-01-24,28.65,28.65,28.65,28.65,000,28.65
2014-01-23,29.16,29.16,29.16,29.16,000,29.16
2014-01-22,29.82,29.82,29.82,29.82,000,29.82
2014-01-21,29.62,29.62,29.62,29.62,000,29.62
2014-01-17,29.88,29.88,29.88,29.88,000,29.88
2014-01-16,29.97,29.97,29.97,29.97,000,29.97
2014-01-15,30.21,30.21,30.21,30.21,000,30.21
2014-01-14,30.14,30.14,30.14,30.14,000,30.14
2014-01-13,30.03,30.03,30.03,30.03,000,30.03
2014-01-10,30.20,30.20,30.20,30.20,000,30.20
2014-01-09,29.84,29.84,29.84,29.84,000,29.84
2014-01-08,30.10,30.10,30.10,30.10,000,30.10
2014-01-07,30.38,30.38,30.38,30.38,000,30.38
2014-01-06,30.36,30.36,30.36,30.36,000,30.36
