Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,150.26,150.26,150.26,150.26,000,150.26
2014-03-04,150.07,150.07,150.07,150.07,000,150.07
2014-03-03,148.09,148.09,148.09,148.09,000,148.09
2014-02-28,148.22,148.22,148.22,148.22,000,148.22
2014-02-27,147.46,147.46,147.46,147.46,000,147.46
2014-02-26,146.26,146.26,146.26,146.26,000,146.26
2014-02-25,145.24,145.24,145.24,145.24,000,145.24
2014-02-24,144.52,144.52,144.52,144.52,000,144.52
2014-02-21,144.84,144.84,144.84,144.84,000,144.84
2014-02-20,144.93,144.93,144.93,144.93,000,144.93
2014-02-19,143.38,143.38,143.38,143.38,000,143.38
2014-02-18,144.24,144.24,144.24,144.24,000,144.24
2014-02-14,144.28,144.28,144.28,144.28,000,144.28
2014-02-13,143.40,143.40,143.40,143.40,000,143.40
2014-02-12,142.50,142.50,142.50,142.50,000,142.50
2014-02-11,142.25,142.25,142.25,142.25,000,142.25
2014-02-10,141.01,141.01,141.01,141.01,000,141.01
2014-02-07,140.69,140.69,140.69,140.69,000,140.69
2014-02-06,138.78,138.78,138.78,138.78,000,138.78
2014-02-05,136.84,136.84,136.84,136.84,000,136.84
2014-02-04,136.45,136.45,136.45,136.45,000,136.45
2014-02-03,135.05,135.05,135.05,135.05,000,135.05
2014-01-31,138.55,138.55,138.55,138.55,000,138.55
2014-01-30,139.00,139.00,139.00,139.00,000,139.00
2014-01-29,138.07,138.07,138.07,138.07,000,138.07
2014-01-28,137.87,137.87,137.87,137.87,000,137.87
2014-01-27,137.26,137.26,137.26,137.26,000,137.26
2014-01-24,137.85,137.85,137.85,137.85,000,137.85
2014-01-23,141.62,141.62,141.62,141.62,000,141.62
2014-01-22,143.51,143.51,143.51,143.51,000,143.51
2014-01-21,144.79,144.79,144.79,144.79,000,144.79
2014-01-17,145.08,145.08,145.08,145.08,000,145.08
2014-01-16,145.66,145.66,145.66,145.66,000,145.66
2014-01-15,145.92,145.92,145.92,145.92,000,145.92
2014-01-14,145.03,145.03,145.03,145.03,000,145.03
2014-01-13,142.90,142.90,142.90,142.90,000,142.90
