Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,72.78,72.78,72.78,72.78,000,72.78
2014-03-04,72.70,72.70,72.70,72.70,000,72.70
2014-03-03,71.05,71.05,71.05,71.05,000,71.05
2014-02-28,71.99,71.99,71.99,71.99,000,71.99
2014-02-27,71.82,71.82,71.82,71.82,000,71.82
2014-02-26,71.20,71.20,71.20,71.20,000,71.20
2014-02-25,71.55,71.55,71.55,71.55,000,71.55
2014-02-24,72.36,72.36,72.36,72.36,000,72.36
2014-02-21,71.58,71.58,71.58,71.58,000,71.58
2014-02-20,71.61,71.61,71.61,71.61,000,71.61
2014-02-19,71.26,71.26,71.26,71.26,000,71.26
2014-02-18,71.97,71.97,71.97,71.97,000,71.97
2014-02-14,71.47,71.47,71.47,71.47,000,71.47
2014-02-13,71.82,71.82,71.82,71.82,000,71.82
2014-02-12,71.46,71.46,71.46,71.46,000,71.46
2014-02-11,71.28,71.28,71.28,71.28,000,71.28
2014-02-10,70.87,70.87,70.87,70.87,000,70.87
2014-02-07,70.54,70.54,70.54,70.54,000,70.54
2014-02-06,69.63,69.63,69.63,69.63,000,69.63
2014-02-05,68.61,68.61,68.61,68.61,000,68.61
2014-02-04,69.17,69.17,69.17,69.17,000,69.17
2014-02-03,68.04,68.04,68.04,68.04,000,68.04
2014-01-31,70.52,70.52,70.52,70.52,000,70.52
2014-01-30,71.31,71.31,71.31,71.31,000,71.31
2014-01-29,70.47,70.47,70.47,70.47,000,70.47
2014-01-28,71.52,71.52,71.52,71.52,000,71.52
2014-01-27,70.58,70.58,70.58,70.58,000,70.58
2014-01-24,71.66,71.66,71.66,71.66,000,71.66
2014-01-23,73.77,73.77,73.77,73.77,000,73.77
2014-01-22,75.13,75.13,75.13,75.13,000,75.13
2014-01-21,74.75,74.75,74.75,74.75,000,74.75
2014-01-17,74.55,74.55,74.55,74.55,000,74.55
2014-01-16,74.67,74.67,74.67,74.67,000,74.67
2014-01-15,74.91,74.91,74.91,74.91,000,74.91
2014-01-14,74.17,74.17,74.17,74.17,000,74.17
2014-01-13,73.48,73.48,73.48,73.48,000,73.48
2014-01-10,74.53,74.53,74.53,74.53,000,74.53
2014-01-09,74.71,74.71,74.71,74.71,000,74.71
2014-01-08,74.63,74.63,74.63,74.63,000,74.63
2014-01-07,74.65,74.65,74.65,74.65,000,74.65
2014-01-06,74.25,74.25,74.25,74.25,000,74.25
2014-01-03,74.30,74.30,74.30,74.30,000,74.30
2014-01-02,73.67,73.67,73.67,73.67,000,73.67
2013-12-31,74.25,74.25,74.25,74.25,000,74.25
2013-12-30,73.69,73.69,73.69,73.69,000,73.69
2013-12-27,73.90,73.90,73.90,73.90,000,73.90
2013-12-26,73.96,73.96,73.96,73.96,000,73.96
2013-12-24,73.75,73.75,73.75,73.75,000,73.75
2013-12-23,73.70,73.70,73.70,73.70,000,73.70
2013-12-20,73.08,73.08,73.08,73.08,000,73.08
2013-12-19,72.59,72.59,72.59,72.59,000,72.19
2013-12-18,72.99,72.99,72.99,72.99,000,72.58
2013-12-17,71.37,71.37,71.37,71.37,000,70.97
2013-12-16,71.58,71.58,71.58,71.58,000,71.18
2013-12-13,70.91,70.91,70.91,70.91,000,70.52
2013-12-12,70.60,70.60,70.60,70.60,000,70.21
2013-12-11,70.64,70.64,70.64,70.64,000,70.25
2013-12-10,71.55,71.55,71.55,71.55,000,71.15
2013-12-09,71.73,71.73,71.73,71.73,000,71.33
2013-12-06,71.40,71.40,71.40,71.40,000,71.00
2013-12-05,70.39,70.39,70.39,70.39,000,70.00
2013-12-04,70.90,70.90,70.90,70.90,000,70.51
2013-12-03,70.96,70.96,70.96,70.96,000,70.57
2013-12-02,71.66,71.66,71.66,71.66,000,71.26
2013-11-29,71.60,71.60,71.60,71.60,000,71.20
2013-11-27,71.61,71.61,71.61,71.61,000,71.21
2013-11-26,71.42,71.42,71.42,71.42,000,71.02
2013-11-25,71.35,71.35,71.35,71.35,000,70.95
2013-11-22,71.23,71.23,71.23,71.23,000,70.83
2013-11-21,70.67,70.67,70.67,70.67,000,70.28
2013-11-20,69.72,69.72,69.72,69.72,000,69.33
2013-11-19,69.73,69.73,69.73,69.73,000,69.34
2013-11-18,69.85,69.85,69.85,69.85,000,69.46
2013-11-15,69.87,69.87,69.87,69.87,000,69.48
2013-11-14,69.63,69.63,69.63,69.63,000,69.24
2013-11-13,69.40,69.40,69.40,69.40,000,69.01
2013-11-12,68.61,68.61,68.61,68.61,000,68.23
2013-11-11,69.10,69.10,69.10,69.10,000,68.72
2013-11-08,68.92,68.92,68.92,68.92,000,68.54
2013-11-07,67.26,67.26,67.26,67.26,000,66.89
2013-11-06,68.56,68.56,68.56,68.56,000,68.18
2013-11-05,68.12,68.12,68.12,68.12,000,67.74
2013-11-04,68.45,68.45,68.45,68.45,000,68.07
2013-11-01,68.31,68.31,68.31,68.31,000,67.93
2013-10-31,67.99,67.99,67.99,67.99,000,67.61
2013-10-30,68.45,68.45,68.45,68.45,000,68.07
2013-10-29,68.85,68.85,68.85,68.85,000,68.47
2013-10-28,68.32,68.32,68.32,68.32,000,67.94
2013-10-25,68.45,68.45,68.45,68.45,000,68.07
2013-10-24,68.12,68.12,68.12,68.12,000,67.74
2013-10-23,67.69,67.69,67.69,67.69,000,67.31
2013-10-22,67.95,67.95,67.95,67.95,000,67.57
2013-10-21,67.85,67.85,67.85,67.85,000,67.47
2013-10-18,68.00,68.00,68.00,68.00,000,67.62
2013-10-17,67.39,67.39,67.39,67.39,000,67.01
2013-10-16,66.65,66.65,66.65,66.65,000,66.28
2013-10-15,65.46,65.46,65.46,65.46,000,65.10
2013-10-14,66.04,66.04,66.04,66.04,000,65.67
2013-10-11,65.80,65.80,65.80,65.80,000,65.43
2013-10-10,65.20,65.20,65.20,65.20,000,64.84
2013-10-09,63.36,63.36,63.36,63.36,000,63.01
2013-10-08,63.02,63.02,63.02,63.02,000,62.67
2013-10-07,64.13,64.13,64.13,64.13,000,63.77
2013-10-04,64.96,64.96,64.96,64.96,000,64.60
2013-10-03,64.18,64.18,64.18,64.18,000,63.82
2013-10-02,64.54,64.54,64.54,64.54,000,64.18
2013-10-01,64.89,64.89,64.89,64.89,000,64.53
2013-09-30,64.33,64.33,64.33,64.33,000,63.97
2013-09-27,64.82,64.82,64.82,64.82,000,64.46
2013-09-26,64.89,64.89,64.89,64.89,000,64.53
2013-09-25,64.73,64.73,64.73,64.73,000,64.37
2013-09-24,64.63,64.63,64.63,64.63,000,64.27
2013-09-23,64.75,64.75,64.75,64.75,000,64.39
2013-09-20,65.45,65.45,65.45,65.45,000,65.09
2013-09-19,65.96,65.96,65.96,65.96,000,65.59
2013-09-18,66.07,66.07,66.07,66.07,000,65.70
2013-09-17,65.64,65.64,65.64,65.64,000,65.27
2013-09-16,65.21,65.21,65.21,65.21,000,64.85
2013-09-13,64.49,64.49,64.49,64.49,000,64.13
2013-09-12,64.29,64.29,64.29,64.29,000,63.93
2013-09-11,64.60,64.60,64.60,64.60,000,64.24
2013-09-10,64.83,64.83,64.83,64.83,000,64.47
2013-09-09,63.99,63.99,63.99,63.99,000,63.63
2013-09-06,63.33,63.33,63.33,63.33,000,62.98
2013-09-05,63.14,63.14,63.14,63.14,000,62.79
2013-09-04,63.14,63.14,63.14,63.14,000,62.79
2013-09-03,62.37,62.37,62.37,62.37,000,62.02
