Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,39.28,39.28,39.28,39.28,000,39.28
2014-03-04,39.42,39.42,39.42,39.42,000,39.42
2014-03-03,39.03,39.03,39.03,39.03,000,39.03
2014-02-28,39.16,39.16,39.16,39.16,000,39.16
2014-02-27,38.79,38.79,38.79,38.79,000,38.79
2014-02-26,38.80,38.80,38.80,38.80,000,38.80
2014-02-25,39.00,39.00,39.00,39.00,000,39.00
2014-02-24,39.17,39.17,39.17,39.17,000,39.17
2014-02-21,38.65,38.65,38.65,38.65,000,38.65
2014-02-20,38.85,38.85,38.85,38.85,000,38.85
2014-02-19,38.74,38.74,38.74,38.74,000,38.74
2014-02-18,38.63,38.63,38.63,38.63,000,38.63
2014-02-14,38.25,38.25,38.25,38.25,000,38.25
2014-02-13,38.16,38.16,38.16,38.16,000,38.16
2014-02-12,37.86,37.86,37.86,37.86,000,37.86
2014-02-11,37.74,37.74,37.74,37.74,000,37.74
2014-02-10,37.18,37.18,37.18,37.18,000,37.18
2014-02-07,37.33,37.33,37.33,37.33,000,37.33
2014-02-06,37.11,37.11,37.11,37.11,000,37.11
2014-02-05,36.53,36.53,36.53,36.53,000,36.53
2014-02-04,36.72,36.72,36.72,36.72,000,36.72
2014-02-03,36.11,36.11,36.11,36.11,000,36.11
2014-01-31,36.82,36.82,36.82,36.82,000,36.82
2014-01-30,36.89,36.89,36.89,36.89,000,36.89
2014-01-29,36.65,36.65,36.65,36.65,000,36.65
2014-01-28,36.88,36.88,36.88,36.88,000,36.88
2014-01-27,36.53,36.53,36.53,36.53,000,36.53
2014-01-24,36.84,36.84,36.84,36.84,000,36.84
2014-01-23,37.54,37.54,37.54,37.54,000,37.54
2014-01-22,37.89,37.89,37.89,37.89,000,37.89
2014-01-21,37.61,37.61,37.61,37.61,000,37.61
2014-01-17,37.20,37.20,37.20,37.20,000,37.20
2014-01-16,37.27,37.27,37.27,37.27,000,37.27
2014-01-15,37.08,37.08,37.08,37.08,000,37.08
2014-01-14,37.06,37.06,37.06,37.06,000,37.06
2014-01-13,36.62,36.62,36.62,36.62,000,36.62
2014-01-10,37.24,37.24,37.24,37.24,000,37.24
2014-01-09,36.96,36.96,36.96,36.96,000,36.96
2014-01-08,37.12,37.12,37.12,37.12,000,37.12
2014-01-07,37.36,37.36,37.36,37.36,000,37.36
2014-01-06,37.14,37.14,37.14,37.14,000,37.14
2014-01-03,37.14,37.14,37.14,37.14,000,37.14
2014-01-02,37.27,37.27,37.27,37.27,000,37.27
2013-12-31,37.79,37.79,37.79,37.79,000,37.79
2013-12-30,37.46,37.46,37.46,37.46,000,37.46
2013-12-27,37.94,37.94,37.94,37.94,000,37.62
2013-12-26,37.75,37.75,37.75,37.75,000,37.43
2013-12-24,37.68,37.68,37.68,37.68,000,37.36
2013-12-23,37.43,37.43,37.43,37.43,000,37.11
2013-12-20,37.34,37.34,37.34,37.34,000,37.02
2013-12-19,37.40,37.40,37.40,37.40,000,36.77
2013-12-18,37.26,37.26,37.26,37.26,000,36.63
2013-12-17,37.02,37.02,37.02,37.02,000,36.39
2013-12-16,37.24,37.24,37.24,37.24,000,36.61
2013-12-13,37.09,37.09,37.09,37.09,000,36.46
2013-12-12,37.25,37.25,37.25,37.25,000,36.62
2013-12-11,37.09,37.09,37.09,37.09,000,36.46
2013-12-10,37.69,37.69,37.69,37.69,000,37.05
2013-12-09,37.90,37.90,37.90,37.90,000,37.26
2013-12-06,37.91,37.91,37.91,37.91,000,37.27
2013-12-05,37.98,37.98,37.98,37.98,000,37.34
2013-12-04,38.06,38.06,38.06,38.06,000,37.42
2013-12-03,38.26,38.26,38.26,38.26,000,37.61
2013-12-02,38.12,38.12,38.12,38.12,000,37.48
2013-11-29,38.12,38.12,38.12,38.12,000,37.48
2013-11-27,38.11,38.11,38.11,38.11,000,37.47
2013-11-26,38.49,38.49,38.49,38.49,000,37.84
2013-11-25,38.51,38.51,38.51,38.51,000,37.86
2013-11-22,39.03,39.03,39.03,39.03,000,38.37
2013-11-21,38.90,38.90,38.90,38.90,000,38.24
2013-11-20,38.63,38.63,38.63,38.63,000,37.98
2013-11-19,38.57,38.57,38.57,38.57,000,37.92
2013-11-18,38.49,38.49,38.49,38.49,000,37.84
2013-11-15,38.94,38.94,38.94,38.94,000,38.28
2013-11-14,38.79,38.79,38.79,38.79,000,38.13
2013-11-13,38.53,38.53,38.53,38.53,000,37.88
2013-11-12,38.22,38.22,38.22,38.22,000,37.57
2013-11-11,38.66,38.66,38.66,38.66,000,38.01
2013-11-08,38.59,38.59,38.59,38.59,000,37.94
2013-11-07,37.95,37.95,37.95,37.95,000,37.31
2013-11-06,38.64,38.64,38.64,38.64,000,37.99
2013-11-05,38.56,38.56,38.56,38.56,000,37.91
2013-11-04,38.89,38.89,38.89,38.89,000,38.23
2013-11-01,38.60,38.60,38.60,38.60,000,37.95
2013-10-31,38.74,38.74,38.74,38.74,000,38.09
2013-10-30,38.88,38.88,38.88,38.88,000,38.22
2013-10-29,39.23,39.23,39.23,39.23,000,38.57
2013-10-28,38.98,38.98,38.98,38.98,000,38.32
2013-10-25,39.00,39.00,39.00,39.00,000,38.34
2013-10-24,38.59,38.59,38.59,38.59,000,37.94
2013-10-23,38.32,38.32,38.32,38.32,000,37.67
2013-10-22,39.00,39.00,39.00,39.00,000,38.34
2013-10-21,38.82,38.82,38.82,38.82,000,38.16
2013-10-18,38.91,38.91,38.91,38.91,000,38.25
2013-10-17,38.45,38.45,38.45,38.45,000,37.80
2013-10-16,38.35,38.35,38.35,38.35,000,37.70
2013-10-15,37.81,37.81,37.81,37.81,000,37.17
2013-10-14,38.01,38.01,38.01,38.01,000,37.37
2013-10-11,37.80,37.80,37.80,37.80,000,37.16
2013-10-10,37.45,37.45,37.45,37.45,000,36.82
2013-10-09,36.71,36.71,36.71,36.71,000,36.09
2013-10-08,36.83,36.83,36.83,36.83,000,36.21
2013-10-07,37.24,37.24,37.24,37.24,000,36.61
2013-10-04,37.50,37.50,37.50,37.50,000,36.87
2013-10-03,37.11,37.11,37.11,37.11,000,36.48
2013-10-02,37.34,37.34,37.34,37.34,000,36.71
2013-10-01,37.24,37.24,37.24,37.24,000,36.61
2013-09-30,36.87,36.87,36.87,36.87,000,36.25
2013-09-27,37.02,37.02,37.02,37.02,000,36.39
2013-09-26,37.07,37.07,37.07,37.07,000,36.44
2013-09-25,36.94,36.94,36.94,36.94,000,36.32
2013-09-24,36.88,36.88,36.88,36.88,000,36.26
2013-09-23,36.82,36.82,36.82,36.82,000,36.20
2013-09-20,36.91,36.91,36.91,36.91,000,36.29
2013-09-19,37.19,37.19,37.19,37.19,000,36.56
2013-09-18,37.30,37.30,37.30,37.30,000,36.67
2013-09-17,36.85,36.85,36.85,36.85,000,36.23
2013-09-16,36.66,36.66,36.66,36.66,000,36.04
2013-09-13,36.68,36.68,36.68,36.68,000,36.06
2013-09-12,36.74,36.74,36.74,36.74,000,36.12
2013-09-11,36.81,36.81,36.81,36.81,000,36.19
2013-09-10,36.63,36.63,36.63,36.63,000,36.01
2013-09-09,36.62,36.62,36.62,36.62,000,36.00
2013-09-06,36.25,36.25,36.25,36.25,000,35.64
2013-09-05,36.09,36.09,36.09,36.09,000,35.48
2013-09-04,35.71,35.71,35.71,35.71,000,35.11
2013-09-03,35.53,35.53,35.53,35.53,000,34.93
2013-08-30,35.36,35.36,35.36,35.36,000,34.76
2013-08-29,35.37,35.37,35.37,35.37,000,34.77
2013-08-28,35.67,35.67,35.67,35.67,000,35.07
2013-08-27,35.22,35.22,35.22,35.22,000,34.63
2013-08-26,35.42,35.42,35.42,35.42,000,34.82
2013-08-23,35.40,35.40,35.40,35.40,000,34.80
2013-08-22,35.11,35.11,35.11,35.11,000,34.52
2013-08-21,34.55,34.55,34.55,34.55,000,33.97
2013-08-20,34.82,34.82,34.82,34.82,000,34.23
2013-08-19,34.64,34.64,34.64,34.64,000,34.05
2013-08-16,35.30,35.30,35.30,35.30,000,34.70
2013-08-15,35.41,35.41,35.41,35.41,000,34.81
2013-08-14,35.35,35.35,35.35,35.35,000,34.75
2013-08-13,35.42,35.42,35.42,35.42,000,34.82
2013-08-12,35.41,35.41,35.41,35.41,000,34.81
2013-08-09,35.51,35.51,35.51,35.51,000,34.91
2013-08-08,35.55,35.55,35.55,35.55,000,34.95
2013-08-07,35.21,35.21,35.21,35.21,000,34.62
2013-08-06,35.30,35.30,35.30,35.30,000,34.70
2013-08-05,35.55,35.55,35.55,35.55,000,34.95
2013-08-02,35.54,35.54,35.54,35.54,000,34.94
2013-08-01,35.57,35.57,35.57,35.57,000,34.97
2013-07-31,34.78,34.78,34.78,34.78,000,34.19
2013-07-30,34.70,34.70,34.70,34.70,000,34.11
2013-07-29,34.81,34.81,34.81,34.81,000,34.22
2013-07-26,35.07,35.07,35.07,35.07,000,34.48
2013-07-25,35.16,35.16,35.16,35.16,000,34.57
2013-07-24,35.00,35.00,35.00,35.00,000,34.41
2013-07-23,35.50,35.50,35.50,35.50,000,34.90
2013-07-22,35.45,35.45,35.45,35.45,000,34.85
2013-07-19,35.56,35.56,35.56,35.56,000,34.96
2013-07-18,35.03,35.03,35.03,35.03,000,34.44
2013-07-17,34.61,34.61,34.61,34.61,000,34.03
2013-07-16,34.45,34.45,34.45,34.45,000,33.87
2013-07-15,34.61,34.61,34.61,34.61,000,34.03
2013-07-12,34.64,34.64,34.64,34.64,000,34.05
2013-07-11,34.59,34.59,34.59,34.59,000,34.01
2013-07-10,34.15,34.15,34.15,34.15,000,33.57
2013-07-09,34.21,34.21,34.21,34.21,000,33.63
2013-07-08,33.86,33.86,33.86,33.86,000,33.29
2013-07-05,33.65,33.65,33.65,33.65,000,33.08
2013-07-03,33.24,33.24,33.24,33.24,000,32.68
2013-07-02,33.26,33.26,33.26,33.26,000,32.70
2013-07-01,33.15,33.15,33.15,33.15,000,32.59
2013-06-28,32.88,32.88,32.88,32.88,000,32.32
2013-06-27,32.96,32.96,32.96,32.96,000,32.40
2013-06-26,32.96,32.96,32.96,32.96,000,32.40
2013-06-25,32.74,32.74,32.74,32.74,000,32.19
2013-06-24,32.33,32.33,32.33,32.33,000,31.78
2013-06-21,32.88,32.88,32.88,32.88,000,32.32
2013-06-20,32.91,32.91,32.91,32.91,000,32.35
2013-06-19,33.95,33.95,33.95,33.95,000,33.38
2013-06-18,34.34,34.34,34.34,34.34,000,33.76
2013-06-17,34.04,34.04,34.04,34.04,000,33.47
2013-06-14,33.58,33.58,33.58,33.58,000,33.01
2013-06-13,33.85,33.85,33.85,33.85,000,33.28
2013-06-12,33.28,33.28,33.28,33.28,000,32.72
2013-06-11,33.57,33.57,33.57,33.57,000,33.00
2013-06-10,34.18,34.18,34.18,34.18,000,33.60
2013-06-07,34.21,34.21,34.21,34.21,000,33.63
2013-06-06,33.87,33.87,33.87,33.87,000,33.30
2013-06-05,33.59,33.59,33.59,33.59,000,33.02
2013-06-04,33.99,33.99,33.99,33.99,000,33.42
2013-06-03,34.17,34.17,34.17,34.17,000,33.59
2013-05-31,33.86,33.86,33.86,33.86,000,33.29
2013-05-30,34.57,34.57,34.57,34.57,000,33.99
2013-05-29,34.67,34.67,34.67,34.67,000,34.08
2013-05-28,34.70,34.70,34.70,34.70,000,34.11
2013-05-24,34.47,34.47,34.47,34.47,000,33.89
2013-05-23,34.64,34.64,34.64,34.64,000,34.05
2013-05-22,34.67,34.67,34.67,34.67,000,34.08
2013-05-21,35.29,35.29,35.29,35.29,000,34.69
2013-05-20,35.36,35.36,35.36,35.36,000,34.76
2013-05-17,34.83,34.83,34.83,34.83,000,34.24
2013-05-16,34.34,34.34,34.34,34.34,000,33.76
2013-05-15,34.53,34.53,34.53,34.53,000,33.95
2013-05-14,34.73,34.73,34.73,34.73,000,34.14
2013-05-13,34.39,34.39,34.39,34.39,000,33.81
2013-05-10,34.45,34.45,34.45,34.45,000,33.87
2013-05-09,34.56,34.56,34.56,34.56,000,33.98
2013-05-08,34.65,34.65,34.65,34.65,000,34.06
2013-05-07,34.55,34.55,34.55,34.55,000,33.97
2013-05-06,34.24,34.24,34.24,34.24,000,33.66
2013-05-03,33.96,33.96,33.96,33.96,000,33.39
2013-05-02,33.32,33.32,33.32,33.32,000,32.76
2013-05-01,33.01,33.01,33.01,33.01,000,32.45
2013-04-30,33.51,33.51,33.51,33.51,000,32.94
2013-04-29,33.28,33.28,33.28,33.28,000,32.72
2013-04-26,32.82,32.82,32.82,32.82,000,32.27
2013-04-25,33.03,33.03,33.03,33.03,000,32.47
2013-04-24,32.90,32.90,32.90,32.90,000,32.34
2013-04-23,32.34,32.34,32.34,32.34,000,31.79
2013-04-22,32.06,32.06,32.06,32.06,000,31.52
2013-04-19,31.66,31.66,31.66,31.66,000,31.13
2013-04-18,31.87,31.87,31.87,31.87,000,31.33
2013-04-17,31.60,31.60,31.60,31.60,000,31.07
2013-04-16,32.44,32.44,32.44,32.44,000,31.89
2013-04-15,31.88,31.88,31.88,31.88,000,31.34
2013-04-12,33.43,33.43,33.43,33.43,000,32.87
2013-04-11,34.07,34.07,34.07,34.07,000,33.49
2013-04-10,33.97,33.97,33.97,33.97,000,33.40
2013-04-09,33.71,33.71,33.71,33.71,000,33.14
2013-04-08,33.27,33.27,33.27,33.27,000,32.71
2013-04-05,32.92,32.92,32.92,32.92,000,32.36
2013-04-04,32.82,32.82,32.82,32.82,000,32.25
2013-04-03,32.94,32.94,32.94,32.94,000,32.37
2013-04-02,33.73,33.73,33.73,33.73,000,33.14
2013-04-01,33.83,33.83,33.83,33.83,000,33.24
2013-03-28,34.08,34.08,34.08,34.08,000,33.49
2013-03-27,34.08,34.08,34.08,34.08,000,33.49
2013-03-26,33.97,33.97,33.97,33.97,000,33.38
2013-03-25,33.62,33.62,33.62,33.62,000,33.04
