Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,89.00,89.00,89.00,89.00,000,89.00
2014-03-04,88.95,88.95,88.95,88.95,000,88.95
2014-03-03,87.58,87.58,87.58,87.58,000,87.58
2014-02-28,88.18,88.18,88.18,88.18,000,88.18
2014-02-27,88.33,88.33,88.33,88.33,000,88.33
2014-02-26,87.79,87.79,87.79,87.79,000,87.79
2014-02-25,87.75,87.75,87.75,87.75,000,87.75
2014-02-24,87.68,87.68,87.68,87.68,000,87.68
2014-02-21,87.05,87.05,87.05,87.05,000,87.05
2014-02-20,87.08,87.08,87.08,87.08,000,87.08
2014-02-19,86.48,86.48,86.48,86.48,000,86.48
2014-02-18,87.01,87.01,87.01,87.01,000,87.01
2014-02-14,86.58,86.58,86.58,86.58,000,86.58
2014-02-13,86.53,86.53,86.53,86.53,000,86.53
2014-02-12,85.66,85.66,85.66,85.66,000,85.66
2014-02-11,85.53,85.53,85.53,85.53,000,85.53
2014-02-10,84.68,84.68,84.68,84.68,000,84.68
2014-02-07,84.42,84.42,84.42,84.42,000,84.42
2014-02-06,84.87,84.87,84.87,84.87,000,84.87
2014-02-05,83.75,83.75,83.75,83.75,000,83.75
2014-02-04,84.11,84.11,84.11,84.11,000,84.11
2014-02-03,83.35,83.35,83.35,83.35,000,83.35
2014-01-31,85.47,85.47,85.47,85.47,000,85.47
2014-01-30,85.73,85.73,85.73,85.73,000,85.73
2014-01-29,83.94,83.94,83.94,83.94,000,83.94
2014-01-28,85.05,85.05,85.05,85.05,000,85.05
2014-01-27,84.18,84.18,84.18,84.18,000,84.18
2014-01-24,84.95,84.95,84.95,84.95,000,84.95
2014-01-23,87.02,87.02,87.02,87.02,000,87.02
2014-01-22,87.74,87.74,87.74,87.74,000,87.74
2014-01-21,87.47,87.47,87.47,87.47,000,87.47
2014-01-17,86.85,86.85,86.85,86.85,000,86.85
2014-01-16,87.00,87.00,87.00,87.00,000,87.00
2014-01-15,87.21,87.21,87.21,87.21,000,87.21
2014-01-14,86.78,86.78,86.78,86.78,000,86.78
2014-01-13,85.69,85.69,85.69,85.69,000,85.69
2014-01-10,87.10,87.10,87.10,87.10,000,87.10
2014-01-09,86.51,86.51,86.51,86.51,000,86.51
2014-01-08,86.67,86.67,86.67,86.67,000,86.67
2014-01-07,86.34,86.34,86.34,86.34,000,86.34
2014-01-06,85.70,85.70,85.70,85.70,000,85.70
2014-01-03,85.94,85.94,85.94,85.94,000,85.94
2014-01-02,86.14,86.14,86.14,86.14,000,86.14
2013-12-31,86.62,86.62,86.62,86.62,000,86.62
2013-12-30,86.14,86.14,86.14,86.14,000,86.14
2013-12-27,86.11,86.11,86.11,86.11,000,86.11
2013-12-26,86.41,86.41,86.41,86.41,000,86.41
2013-12-24,86.10,86.10,86.10,86.10,000,86.10
2013-12-23,85.95,85.95,85.95,85.95,000,85.95
2013-12-20,85.27,85.27,85.27,85.27,000,85.27
2013-12-19,96.41,96.41,96.41,96.41,000,84.61
2013-12-18,96.53,96.53,96.53,96.53,000,84.72
2013-12-17,95.21,95.21,95.21,95.21,000,83.56
2013-12-16,95.36,95.36,95.36,95.36,000,83.69
2013-12-13,94.86,94.86,94.86,94.86,000,83.25
2013-12-12,94.70,94.70,94.70,94.70,000,83.11
2013-12-11,94.71,94.71,94.71,94.71,000,83.12
2013-12-10,95.84,95.84,95.84,95.84,000,84.11
2013-12-09,96.03,96.03,96.03,96.03,000,84.28
2013-12-06,95.79,95.79,95.79,95.79,000,84.07
2013-12-05,94.95,94.95,94.95,94.95,000,83.33
2013-12-04,95.24,95.24,95.24,95.24,000,83.59
2013-12-03,95.13,95.13,95.13,95.13,000,83.49
2013-12-02,95.51,95.51,95.51,95.51,000,83.82
2013-11-29,95.71,95.71,95.71,95.71,000,84.00
2013-11-27,95.55,95.55,95.55,95.55,000,83.86
2013-11-26,95.11,95.11,95.11,95.11,000,83.47
2013-11-25,94.78,94.78,94.78,94.78,000,83.18
2013-11-22,94.86,94.86,94.86,94.86,000,83.25
2013-11-21,94.24,94.24,94.24,94.24,000,82.71
2013-11-20,93.33,93.33,93.33,93.33,000,81.91
2013-11-19,93.52,93.52,93.52,93.52,000,82.08
2013-11-18,93.99,93.99,93.99,93.99,000,82.49
2013-11-15,94.86,94.86,94.86,94.86,000,83.25
2013-11-14,94.46,94.46,94.46,94.46,000,82.90
2013-11-13,93.97,93.97,93.97,93.97,000,82.47
2013-11-12,92.89,92.89,92.89,92.89,000,81.52
2013-11-11,92.98,92.98,92.98,92.98,000,81.60
2013-11-08,92.82,92.82,92.82,92.82,000,81.46
2013-11-07,91.40,91.40,91.40,91.40,000,80.22
2013-11-06,93.01,93.01,93.01,93.01,000,81.63
2013-11-05,93.27,93.27,93.27,93.27,000,81.86
2013-11-04,93.20,93.20,93.20,93.20,000,81.80
2013-11-01,93.05,93.05,93.05,93.05,000,81.66
2013-10-31,92.86,92.86,92.86,92.86,000,81.50
2013-10-30,93.08,93.08,93.08,93.08,000,81.69
2013-10-29,93.43,93.43,93.43,93.43,000,82.00
2013-10-28,93.02,93.02,93.02,93.02,000,81.64
2013-10-25,93.19,93.19,93.19,93.19,000,81.79
2013-10-24,92.69,92.69,92.69,92.69,000,81.35
2013-10-23,92.04,92.04,92.04,92.04,000,80.78
2013-10-22,92.49,92.49,92.49,92.49,000,81.17
2013-10-21,92.07,92.07,92.07,92.07,000,80.80
2013-10-18,91.99,91.99,91.99,91.99,000,80.73
2013-10-17,90.94,90.94,90.94,90.94,000,79.81
2013-10-16,90.23,90.23,90.23,90.23,000,79.19
2013-10-15,88.95,88.95,88.95,88.95,000,78.07
2013-10-14,89.50,89.50,89.50,89.50,000,78.55
2013-10-11,89.12,89.12,89.12,89.12,000,78.22
2013-10-10,88.49,88.49,88.49,88.49,000,77.66
2013-10-09,86.34,86.34,86.34,86.34,000,75.78
2013-10-08,86.67,86.67,86.67,86.67,000,76.06
2013-10-07,88.51,88.51,88.51,88.51,000,77.68
2013-10-04,89.56,89.56,89.56,89.56,000,78.60
2013-10-03,88.70,88.70,88.70,88.70,000,77.85
2013-10-02,89.62,89.62,89.62,89.62,000,78.65
2013-10-01,89.74,89.74,89.74,89.74,000,78.76
2013-09-30,88.82,88.82,88.82,88.82,000,77.95
2013-09-27,89.33,89.33,89.33,89.33,000,78.40
2013-09-26,89.44,89.44,89.44,89.44,000,78.50
