Date,Open,High,Low,Close,Volume
1-Jul-11,24.23,26.02,24.23,26.02,291664498
24-Jun-11,24.17,24.86,24.16,24.30,309206180
17-Jun-11,23.79,29.05,23.65,24.26,280430166
10-Jun-11,23.90,24.25,23.69,23.70,230307366
3-Jun-11,24.96,25.10,23.84,23.90,246418070
27-May-11,24.21,25.03,24.03,24.76,213316051
20-May-11,24.96,25.07,24.25,24.49,311462943
13-May-11,25.80,25.96,24.95,25.03,382293426
6-May-11,25.94,26.25,25.48,25.87,346656165
29-Apr-11,25.56,26.87,25.34,25.92,554889924
21-Apr-11,25.10,26.00,24.72,25.52,158547201
15-Apr-11,26.19,26.25,25.09,25.37,229693684
8-Apr-11,25.45,26.31,25.41,26.07,260749872
1-Apr-11,25.66,25.72,25.30,25.48,258143967
