Date,Open,High,Low,Close,Volume,Adj Close
2011-03-14,161.16,161.98,156.88,159.02,5388100,151.46
2011-03-07,161.60,167.72,158.85,162.43,6219100,154.70
2011-02-28,162.36,164.31,159.41,161.83,4307400,154.13
2011-02-22,163.57,164.26,159.03,162.28,5358300,154.56
2011-02-14,164.18,164.84,162.52,164.84,3718000,157.00
2011-02-07,164.08,166.25,163.18,163.85,5219400,156.06
2011-01-31,159.18,164.20,158.68,164.00,5074200,155.58
2011-01-24,155.42,164.35,155.33,159.21,6500500,151.04
2011-01-18,149.82,156.78,149.38,155.50,8941700,147.52
2011-01-10,147.58,150.00,146.75,150.00,3975700,142.30
2011-01-03,147.21,148.86,146.64,147.93,4697200,140.34
